key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay,layer_sizes
MountainCar_DDQN_PCA_EpsilonGreedy_notes_cpu,-1054.92,717.86,-157.0,-4287.0,-1297.0,-844.0,-556.5,MountainCar-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DDQN_PCA_EpsilonGreedy_notes_cpu,-488.32,323.44,-99.0,-1741.0,-607.25,-397.5,-251.5,MountainCar-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DDQN_PCA_EpsilonGreedy_notes_cpu,-518.99,300.34,-124.0,-1793.0,-669.75,-448.0,-291.5,MountainCar-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DDQN_PCA_EpsilonGreedy_notes_cpu,-466.63,273.15,-128.0,-1864.0,-544.0,-386.0,-286.0,MountainCar-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DDQN_PCA_EpsilonGreedy_notes_cpu,-767.9,513.21,-110.0,-3505.0,-1022.5,-641.0,-404.0,MountainCar-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DDQN_PCA_EpsilonGreedy_notes_cpu,-814.22,365.43,-206.0,-2264.0,-1049.5,-734.0,-545.5,Acrobot-v1,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DDQN_PCA_EpsilonGreedy_notes_cpu,-852.71,461.73,-206.0,-2858.0,-1109.5,-750.0,-515.5,Acrobot-v1,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DDQN_PCA_EpsilonGreedy_notes_cpu,-738.28,309.66,-230.0,-2031.0,-904.0,-688.0,-505.0,Acrobot-v1,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DDQN_PCA_EpsilonGreedy_notes_cpu,-846.94,386.73,-146.0,-2311.0,-1037.0,-756.0,-549.0,Acrobot-v1,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DDQN_PCA_EpsilonGreedy_notes_cpu,-791.1,402.36,-179.0,-2497.0,-991.75,-663.0,-539.0,Acrobot-v1,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DDQN_PCA_EpsilonGreedy_notes_cpu,47.08,19.17,154.0,8.0,33.0,45.0,58.0,CartPole-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DDQN_PCA_EpsilonGreedy_notes_cpu,39.25,18.34,160.0,8.0,27.0,36.0,48.0,CartPole-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DDQN_PCA_EpsilonGreedy_notes_cpu,47.05,19.13,162.0,8.0,33.0,45.0,57.0,CartPole-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DDQN_PCA_EpsilonGreedy_notes_cpu,45.71,18.12,164.0,8.0,34.0,43.0,55.0,CartPole-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DDQN_PCA_EpsilonGreedy_notes_cpu,39.89,19.88,178.0,8.0,27.0,36.0,49.0,CartPole-v0,DDQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
